FID,SITE_SEQ_N,SOURCE_SIT,HICAP_WELL,WI_UNIQUE_,PROPERTY_S,SOURCE_TYP,WATER_USE_,WATER_USE1,GLC_WATER_,SOURCE_STA,APPROVAL_D,COMPLETION,MAX_HYDR_C,MAX_DAILY_,ACTIVE_SOU,OPEN_INT_T,OPEN_INT_B,WELL_DEPTH,SCREENED,ELEV_M
1,11525,5960,36606,BE094,10562,Groundwater,IR10,Agricultural irrigation,Irrigation,FILLED & SEALED well,1977/01/21 00:00:00+00,,1728000,1728000,N,0,0,0, ,288.4249251
2,14663,14983,0, ,6162,Surface Water,IR10,Agricultural irrigation,Irrigation,EXISTING source,,,720000,40000,Y,0,0,0, ,312.3438
3,11606,7711,68762, ,5344,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2007/05/09 00:00:00+00,,21600,1000,N,0,0,0, ,287.5565502
4,11687,5026,24011,BD052,6697,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/08/05 00:00:00+00,1977/08/27 00:00:00+00,1728000,1728000,Y,0,0,0, ,350.8491706
5,11411,4880,23835,BC889,10240,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1975/01/27 00:00:00+00,1975/04/29 00:00:00+00,0,1728000,Y,0,0,0, ,325.4867745
6,3911,4797,23738,BC794,6476,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1977/02/08 00:00:00+00,1964/07/08 00:00:00+00,1440000,1440000,Y,0,0,0, ,351.2180039
7,11456,954,305,BB584,10372,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1984/02/13 00:00:00+00,1984/04/03 00:00:00+00,1440000,1440000,Y,0,0,0, ,304.9371637
8,3921,3166,3676,RB710,6507,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2003/06/16 00:00:00+00,2003/06/24 00:00:00+00,1440000,1440000,Y,314,304,20,Y,323.9505706
9,11719,9777,71081, ,6872,Groundwater,DS11,Privt/single residence,Commercial,EXPIRED well approval,2010/04/23 00:00:00+00,,17280,500,N,0,0,0, ,299.30201
10,3937,4752,23689,BC747,6565,Groundwater,IR10,Agricultural irrigation,Irrigation,FILLED & SEALED well,1969/05/16 00:00:00+00,1969/10/27 00:00:00+00,1152000,1152000,N,0,0,0, ,326.4042255
11,11847,5884,36514,BE010,7318,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1965/03/01 00:00:00+00,1965/05/15 00:00:00+00,2160000,2166000,Y,0,0,0, ,332.3325706
12,3979,5185,24228,BD247,12400,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1983/06/09 00:00:00+00,1983/06/03 00:00:00+00,1080000,1080000,Y,328,322,16,Y,338.8065196
13,11913,5836,36455,BD952,7562,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1984/05/03 00:00:00+00,1977/07/07 00:00:00+00,1728000,1440000,Y,0,0,0, ,348.2126804
14,3981,5923,36562,BE054,10683,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1972/11/07 00:00:00+00,1973/06/19 00:00:00+00,1440000,1440000,Y,0,0,0, ,327.0778216
15,11938,5795,36410,BD908,7658,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1977/03/11 00:00:00+00,1963/07/15 00:00:00+00,1728000,1728000,Y,0,0,0, ,337.8220216
16,11653,4726,23647,BC709,6518,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1977/06/03 00:00:00+00,1959/05/01 00:00:00+00,1440000,1440000,Y,337,333,16,Y,349.2062941
17,11699,4839,23789,BC844,6761,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1963/10/01 00:00:00+00,1964/09/01 00:00:00+00,1080000,1080000,Y,0,0,0, ,325.9012981
18,11701,4986,23963,BD010,6776,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1975/06/26 00:00:00+00,1975/07/12 00:00:00+00,0,1728000,Y,0,0,0, ,344.3600039
19,11914,5928,36568, ,7561,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1984/04/18 00:00:00+00,1969/07/21 00:00:00+00,2016000,1728000,Y,0,0,0, ,328.0287961
20,11924,1011,366,CR162,7600,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1989/05/12 00:00:00+00,1989/05/01 00:00:00+00,1728000,1728000,Y,252,252,44,N,296.5338255
21,11934,831,162, ,7642,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/06/23 00:00:00+00,1976/06/25 00:00:00+00,1440000,1440000,Y,0,0,0, ,323.1276255
22,11942,717,29,BB319,7670,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1979/08/01 00:00:00+00,1960/06/07 00:00:00+00,1440000,1440000,Y,0,0,0, ,312.9808216
23,11771,5942,36584,BE075,7231,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/05/19 00:00:00+00,1977/07/06 00:00:00+00,1440000,1440000,Y,0,0,0, ,319.128651
24,11824,5713,36316,BD815,7224,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1959/09/28 00:00:00+00,1959/10/15 00:00:00+00,0,840000,Y,0,0,0, ,332.0734981
25,11829,5847,36471,BD968,7237,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1964/02/04 00:00:00+00,1964/04/04 00:00:00+00,1728000,1296000,Y,0,0,0, ,324.9625274
26,11839,9824,71130,UT700,7270,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2010/06/07 00:00:00+00,2010/06/09 00:00:00+00,17280,100,N,291,290,43,Y,333.0214216
27,11843,5992,36650,BE130,11887,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1983/04/25 00:00:00+00,1978/09/21 00:00:00+00,1728000,1728000,Y,0,0,0, ,329.8332255
28,11890,8196,69310, ,7465,Groundwater,LV20,Non-dairy farming,Livestock,EXISTING source,2007/01/01 00:00:00+00,1980/01/11 00:00:00+00,72000,0,Y,0,0,0, ,312.3224804
29,11925,6039,36705,BE182,7614,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1982/02/24 00:00:00+00,1982/04/22 00:00:00+00,1728000,1728000,Y,0,0,0, ,323.7402765
30,11932,701,12,BB303,7640,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1970/04/23 00:00:00+00,1964/07/23 00:00:00+00,1440000,1503000,Y,0,0,0, ,324.9351059
31,11983,1459,1035,GF586,7877,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1993/07/09 00:00:00+00,1993/10/07 00:00:00+00,1440000,1440000,Y,263,254,25,Y,278.94169
32,11643,5705,36306,BD805,6487,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1974/04/15 00:00:00+00,1975/04/10 00:00:00+00,1440000,1440000,Y,0,0,0, ,348.694251
33,11800,778,101, ,7155,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1966/02/04 00:00:00+00,1966/03/03 00:00:00+00,1440000,1002000,Y,0,0,0, ,310.5393892
34,11831,3292,3826,RN322,7247,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,2003/02/12 00:00:00+00,2003/04/25 00:00:00+00,1440000,1440000,Y,315,303,61,Y,364.236
35,11941,6088,36761, ,7667,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1989/05/26 00:00:00+00,,1440000,1440000,Y,0,0,0, ,352.4127961
36,11621,9564,70822, ,11985,Groundwater,IR23,Cranberry irrigation,Irrigation,EXISTING source,2009/01/01 00:00:00+00,,1728000,0,Y,0,0,0, ,321.7742941
37,11822,5708,36311,BD810,14106,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1964/05/05 00:00:00+00,1965/06/18 00:00:00+00,1440000,1440000,Y,0,0,0, ,326.1512549
38,11830,5983,36641,BE121,7247,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1978/02/02 00:00:00+00,1978/05/22 00:00:00+00,1440000,1440000,Y,0,0,0, ,361.343451
39,11849,5937,36578,BE070,7320,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/03/30 00:00:00+00,1976/04/21 00:00:00+00,1440000,1440000,Y,0,0,0, ,333.5548216
40,11918,2515,2650,ME929,7570,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1998/10/01 00:00:00+00,1998/10/15 00:00:00+00,1440000,1440000,Y,299,289,35,Y,324.5235961
41,11943,1697,1417,MD155,7681,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1997/05/05 00:00:00+00,1997/06/01 00:00:00+00,1440000,1440000,Y,287,275,43,Y,317.5497706
42,11605,7714,68764,WH750,5344,Groundwater,AQ10,Aquaculture,Livestock,APPROVED well with well report,2007/05/09 00:00:00+00,2006/09/25 00:00:00+00,900000,900000,Y,267,250,46,Y,296.0144525
43,11625,6072,36740,BE216,6389,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1987/04/22 00:00:00+00,1987/04/28 00:00:00+00,1728000,1728000,Y,0,0,0, ,325.6300216
44,11660,5855,36479,BD976,6536,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1964/03/11 00:00:00+00,1964/04/08 00:00:00+00,1440000,1440000,Y,0,0,0, ,332.5855784
45,11796,9612,70879,NY060,7130,Groundwater,IR22,Orchards/nursery irrig,Irrigation,EXISTING source,2010/01/01 00:00:00+00,2000/08/16 00:00:00+00,28800,0,Y,242,232,55,N,286.4729919
46,11827,6073,36741,BE217,7228,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1987/05/05 00:00:00+00,1987/05/22 00:00:00+00,2160000,2160000,Y,0,0,0, ,271.3167973
47,11859,5982,36637,BE120,7350,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1985/01/14 00:00:00+00,1977/11/02 00:00:00+00,1440000,1440000,Y,0,0,0, ,337.0173451
48,11072,9964,71284,MX205,9134,Groundwater,PS31,Public/non-transient,Commercial,APPROVED well with well report,2010/01/01 00:00:00+00,1999/05/11 00:00:00+00,28800,0,Y,266,265,21,Y,285.9868228
49,11783,1613,1307, ,7084,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1994/02/09 00:00:00+00,,1872000,1872000,Y,0,0,0, ,311.7250471
50,11748,5209,24255,BD274,6958,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1984/05/17 00:00:00+00,1984/06/15 00:00:00+00,1440000,1440000,Y,0,0,0, ,317.1382981
51,11295,7054,67876,TE729,9835,Groundwater,IN62,Mineral preparations,Industrial,EXISTING source,2005/10/12 00:00:00+00,2005/11/15 00:00:00+00,331200,200000,Y,200,158,106,N,263.6549988
52,12111,5798,36413,BD911,12889,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1964/05/12 00:00:00+00,1962/04/12 00:00:00+00,1728000,1728000,Y,0,0,0, ,327.0656549
53,12249,6920,67664,ST876,8967,Groundwater,PS42,Lodging,Commercial,APPROVED well with well report,2005/05/19 00:00:00+00,2005/05/25 00:00:00+00,86400,88000,Y,257,255,66,Y,321.1768981
54,12358,2653,2806,ME942,9346,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1999/05/05 00:00:00+00,1999/05/05 00:00:00+00,1152000,1152000,Y,315,306,33,Y,338.4529784
55,12396,2969,3280, ,9462,Groundwater,IR10,Agricultural irrigation,Irrigation,TEMP capped well,2001/02/08 00:00:00+00,,72000,72000,Y,0,0,0, ,248.5381877
56,12490,3695,4525,SN216,9743,Groundwater,DS12,Privt/multi residences,Commercial,EXISTING source,2004/04/12 00:00:00+00,2004/08/31 00:00:00+00,86400,5000,Y,248,229,42,N,271.1046614
57,12641,8598,69747,VE279,10232,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2008/07/10 00:00:00+00,2010/05/06 00:00:00+00,1440000,1440000,Y,246,236,35,Y,271.1830008
58,12701,931,280,BB560,10508,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1980/04/07 00:00:00+00,1978/06/15 00:00:00+00,1152000,1152000,Y,0,0,0, ,293.4596131
59,12729,9919,71232,YF674,10618,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2010/08/25 00:00:00+00,2011/05/19 00:00:00+00,17280,17280,N,212,211,49,Y,259.3160095
60,12752,1164,557,DR020,10767,Groundwater,IR32,Park&Rec field irrig,Irrigation,FILLED & SEALED well,1991/04/02 00:00:00+00,1989/09/27 00:00:00+00,115200,38000,N,294,267,45,N,312.1822471
61,12802,918,263,BB543,6366,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1979/03/21 00:00:00+00,1979/03/13 00:00:00+00,1152000,1152000,Y,0,0,0, ,304.9920255
62,12817,762,79,BB367,6400,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1971/02/11 00:00:00+00,1965/07/02 00:00:00+00,0,1728000,Y,0,0,0, ,320.3752726
63,12851,4788,23728,BC784,6522,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1968/05/03 00:00:00+00,1961/06/15 00:00:00+00,0,1728000,Y,0,0,0, ,328.351902
64,12867,4804,23745,BC801,6594,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1961/04/21 00:00:00+00,1961/06/01 00:00:00+00,1728000,1728000,Y,0,0,0, ,343.4150941
65,11039,10054,75017,EZ643,9037,Groundwater,PS23,OTM - multi-unit housing,Commercial,APPROVED well with well report,1987/04/02 00:00:00+00,1981/03/06 00:00:00+00,57600,58000,Y,258,225,49,N,273.3699371
66,11073,10687,88419, ,9135,Groundwater,PS43,"Restaurants, taverns",Commercial,EXISTING source,1975/12/23 00:00:00+00,,17280,6000,Y,0,0,0, ,285.081278
67,11226,3472,4171,RB722,9640,Groundwater,IR32,Park&Rec field irrig,Irrigation,EXISTING source,2003/08/13 00:00:00+00,2003/08/15 00:00:00+00,93600,94000,Y,329,326,13,Y,338.4926039
68,11275,6041,36707,BE183,9770,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1982/03/15 00:00:00+00,1982/04/13 00:00:00+00,1440000,1440000,Y,0,0,0, ,329.4826981
69,11288,6990,67768, ,9818,Groundwater,PS41,Public/transient,Commercial,EXPIRED well approval,2010/12/01 00:00:00+00,,86400,72000,N,0,0,0, ,281.134412
70,11340,5926,36565,BE057,9953,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1974/07/02 00:00:00+00,1974/07/19 00:00:00+00,1728000,1728000,Y,0,0,0, ,322.3778294
71,11402,9250,70498, ,10193,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2009/01/01 00:00:00+00,,11520,0,N,0,0,0, ,321.0001274
72,11537,9659,70929,VC274,10604,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2010/03/10 00:00:00+00,2010/05/25 00:00:00+00,1440000,1440000,Y,313,307,14,Y,321.4786471
73,11560,4863,23818,BC872,10712,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1965/09/08 00:00:00+00,1966/05/20 00:00:00+00,1728000,1728000,Y,0,0,0, ,348.621102
74,11623,868,202,BB486,11985,Groundwater,IR23,Cranberry irrigation,Irrigation,EXISTING source,1977/05/16 00:00:00+00,1977/06/07 00:00:00+00,1728000,1728000,Y,0,0,0, ,317.6351235
75,11644,5784,36397,BD895,6489,Groundwater,IR10,Agricultural irrigation,Irrigation,FILLED & SEALED well,1960/11/30 00:00:00+00,1961/07/01 00:00:00+00,1728000,1728000,N,0,0,0, ,359.1763274
76,11663,5010,23991,BD034,6597,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1976/05/06 00:00:00+00,1976/05/15 00:00:00+00,1440000,1440000,Y,0,0,0, ,362.0840941
77,11686,4972,23946,BC994,6687,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1978/12/13 00:00:00+00,1974/06/04 00:00:00+00,1440000,1440000,Y,0,0,0, ,322.8015059
78,11693,783,107, ,6743,Groundwater,IR10,Agricultural irrigation,Irrigation,FILLED & SEALED well,1976/06/28 00:00:00+00,1972/05/25 00:00:00+00,1440000,1440000,N,0,0,0, ,291.6012522
79,11714,4810,23751,BC807,6840,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1961/05/15 00:00:00+00,1961/08/01 00:00:00+00,1296000,1296000,Y,0,0,0, ,330.2904255
80,11721,9431,70680, ,6872,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2009/01/01 00:00:00+00,,28800,0,N,0,0,0, ,296.9285363
81,11737,8141,69244,CH714,6906,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2007/01/01 00:00:00+00,1991/12/23 00:00:00+00,25920,0,N,320,319,24,Y,342.9518294
82,12905,4953,23926,BC974,6810,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1972/06/01 00:00:00+00,1973/05/19 00:00:00+00,1728000,1728000,Y,0,0,0, ,353.1382216
83,12907,5178,24220,BD239,6818,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1982/06/02 00:00:00+00,1983/04/25 00:00:00+00,576000,576000,Y,0,0,0, ,321.5762039
84,12319,8096,69194,KP966,9149,Groundwater,IR32,Park&Rec field irrig,Irrigation,APPROVED well with well report,2007/01/01 00:00:00+00,1996/05/31 00:00:00+00,172800,173000,Y,204,199,67,Y,266.6746992
85,12518,3743,4588,TT910,9814,Groundwater,IR22,Orchards/nursery irrig,Irrigation,EXISTING source,2004/10/26 00:00:00+00,2004/12/10 00:00:00+00,216000,216000,Y,172,126,122,N,248.2440033
86,12645,8176,69288,EX805,10243,Groundwater,LV20,Non-dairy farming,Livestock,APPROVED well with well report,2007/12/14 00:00:00+00,1953/01/01 00:00:00+00,14400,14400,Y,0,0,0, ,336.9350804
87,12503,5824,36439,BD937,9770,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1963/04/11 00:00:00+00,1963/04/08 00:00:00+00,1440000,1440000,Y,0,0,0, ,328.8243196
88,12589,8973,70194,FV365,10029,Groundwater,LV10,Dairy farming,Livestock,APPROVED well with well report,2009/03/18 00:00:00+00,1992/10/01 00:00:00+00,36000,36000,Y,239,233,37,N,269.3320007
89,12622,8498,69635,UL675,10152,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2008/06/04 00:00:00+00,2008/06/10 00:00:00+00,1440000,1440000,Y,326,320,20,Y,340.7450804
90,12871,1749,1486,FR727,6608,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1994/11/05 00:00:00+00,1994/10/10 00:00:00+00,1728000,1728000,Y,322,313,35,Y,348.2797274
91,12948,5008,23986,BD032,6958,Groundwater,IR10,Agricultural irrigation,Irrigation,FILLED & SEALED well,1978/01/30 00:00:00+00,1976/06/19 00:00:00+00,1728000,1728000,N,0,0,0, ,316.0471274
92,12906,5170,24208,BD227,6812,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1981/12/01 00:00:00+00,1982/05/10 00:00:00+00,1728000,1728000,Y,0,0,0, ,345.1311196
93,12969,7684,68729,TY629,7035,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2007/03/30 00:00:00+00,2007/06/28 00:00:00+00,1440000,1440000,Y,298,289,29,Y,318.2660804
94,12808,766,83,BB371,11985,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1968/05/09 00:00:00+00,1968/05/29 00:00:00+00,1440000,1440000,Y,0,0,0, ,321.7834471
95,12041,4540,18924,BC512,8133,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1978/10/05 00:00:00+00,1977/07/20 00:00:00+00,1440000,1440000,Y,0,0,0, ,257.6979981
96,12151,1259,705,FN805,8664,Groundwater,CO99,Commercial - other,Commercial,EXISTING source,1991/10/15 00:00:00+00,1992/04/13 00:00:00+00,655200,650000,Y,312,300,47,Y,347.4872549
97,12310,10686,88418,GV718,9134,Groundwater,PS12,Hospitals/health inst,Commercial,FILLED & SEALED well,1975/12/03 00:00:00+00,1977/11/22 00:00:00+00,72000,72000,N,258,255,32,Y,286.4501247
98,12355,2604,2744,GV229,9343,Groundwater,PS42,Lodging,Commercial,EXISTING source,1999/04/30 00:00:00+00,,28800,28000,Y,0,0,0, ,341.0133059
99,12391,2834,3122,OC525,9449,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,2000/04/28 00:00:00+00,2000/05/10 00:00:00+00,108000,100000,Y,245,231,69,N,299.9809876
100,12439,3435,4109,SU229,9620,Groundwater,PS23,OTM - multi-unit housing,Commercial,LOCAP Residential or Fire Well,2003/05/15 00:00:00+00,2005/06/01 00:00:00+00,86400,3000,N,255,230,38,N,267.9774104
101,12491,3693,4523,SN273,9743,Groundwater,DS12,Privt/multi residences,Commercial,EXISTING source,2004/04/12 00:00:00+00,2004/11/10 00:00:00+00,86400,5000,Y,239,220,49,N,268.2721645
102,12551,7382,68332,TB482,9931,Groundwater,IR23,Cranberry irrigation,Irrigation,EXISTING source,2006/08/07 00:00:00+00,2006/08/10 00:00:00+00,1152000,1152000,Y,313,308,14,Y,322.0699784
103,12629,5674,35332,BD770,10168,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1973/04/13 00:00:00+00,1973/04/30 00:00:00+00,1728000,1728000,Y,0,0,0, ,280.46569
104,12672,723,36,BB326,10394,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1979/04/18 00:00:00+00,,1728000,1080000,Y,0,0,0, ,316.3762981
105,12734,9759,71062, ,10635,Groundwater,PS41,Public/transient,Commercial,EXISTING source,2010/04/15 00:00:00+00,,28800,28800,Y,0,0,0, ,350.6510804
106,12805,2036,1928,ME917,13670,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1997/03/21 00:00:00+00,1998/05/20 00:00:00+00,1440000,1440000,Y,299,290,40,Y,329.7174
107,12819,1906,1675,FL917,6409,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1996/01/04 00:00:00+00,1996/05/01 00:00:00+00,1440000,1440000,Y,299,290,25,Y,314.712102
108,12840,9493,70745,VA685,6495,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2009/10/28 00:00:00+00,2009/11/02 00:00:00+00,1584000,1584000,Y,289,280,64,Y,344.0613059
109,12854,4739,23667,BC729,6531,Groundwater,IR10,Agricultural irrigation,Irrigation,FILLED & SEALED well,1965/05/24 00:00:00+00,1965/05/30 00:00:00+00,1728000,1728000,N,0,0,0, ,329.9886765
110,12873,2237,2230,MD154,6618,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1997/11/04 00:00:00+00,1997/11/17 00:00:00+00,1728000,1728000,Y,310,301,20,Y,321.6585059
111,12887,5100,24115,BD145,6680,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1988/02/08 00:00:00+00,1978/07/01 00:00:00+00,1440000,1440000,Y,0,0,0, ,324.5449529
