YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,SUM,SPRING,SUMMER,FALL,WINTER
1895,1.50,0.52,0.47,1.21,4.33,3.08,2.79,2.48,3.48,0.52,1.46,1.40,23.24,6.01,8.35,5.46,2.89
1896,1.06,0.43,1.52,4.85,4.94,3.62,2.97,2.88,3.69,2.59,2.96,0.81,32.32,11.31,9.47,9.24,3.96
1897,1.92,1.23,2.62,2.17,1.92,5.58,4.08,2.69,2.29,1.62,1.24,0.96,28.32,6.71,12.35,5.15,3.39
1898,0.90,1.53,2.38,1.99,2.87,3.71,2.40,3.19,1.92,4.21,1.53,0.39,27.02,7.24,9.30,7.66,2.44
1899,0.93,1.12,2.21,2.47,4.50,5.49,3.15,3.68,2.48,2.92,0.98,1.73,31.66,9.18,12.32,6.38,4.14
1900,1.01,1.40,1.34,2.56,1.62,2.03,7.88,4.86,5.96,6.10,1.36,0.81,36.93,5.52,14.77,13.42,2.18
1901,0.70,0.67,3.00,0.96,2.30,4.11,4.46,1.85,4.17,2.48,0.89,0.87,26.46,6.26,10.42,7.54,2.90
1902,0.81,1.22,1.28,2.02,5.14,3.69,6.23,2.22,3.24,1.89,2.72,2.31,32.77,8.44,12.14,7.85,3.84
1903,0.49,1.04,2.38,3.06,5.59,1.67,6.13,6.35,5.44,2.42,0.96,0.84,36.37,11.03,14.15,8.82,2.41
1904,0.47,1.10,2.13,1.83,4.45,3.94,3.25,3.02,4.96,4.20,0.23,1.84,31.42,8.41,10.21,9.39,3.82
1905,0.96,1.02,1.62,1.43,4.99,6.47,3.82,4.68,3.30,2.77,1.94,0.94,33.94,8.04,14.97,8.01,3.80
1906,2.13,0.73,2.26,1.55,4.43,4.62,2.49,4.21,3.54,2.89,2.99,1.52,33.36,8.24,11.32,9.42,3.83
1907,1.76,0.55,1.74,2.16,2.45,3.21,4.60,4.27,4.95,0.79,1.15,1.01,28.64,6.35,12.08,6.89,3.33
1908,0.78,1.54,2.02,3.36,5.06,4.17,3.57,1.80,2.40,1.54,1.57,1.19,29.00,10.44,9.54,5.51,3.88
1909,1.15,1.54,1.23,4.15,2.85,3.41,3.09,3.64,3.11,1.40,3.82,2.02,31.41,8.23,10.14,8.33,4.00
1910,1.21,0.77,0.13,2.94,2.37,0.90,1.95,3.66,3.27,1.35,1.19,0.79,20.53,5.44,6.51,5.81,3.34
1911,0.89,1.66,1.09,1.66,4.57,3.42,3.99,3.80,5.14,5.74,2.54,2.07,36.57,7.32,11.21,13.42,3.28
1912,0.66,0.55,0.79,2.27,5.54,1.41,6.07,5.95,3.65,2.04,0.87,1.87,31.67,8.60,13.43,6.56,3.75
1913,0.87,1.01,2.89,1.97,5.51,3.12,6.63,2.52,3.65,2.98,1.49,0.22,32.86,10.37,12.27,8.12,2.04
1914,1.20,0.62,1.49,2.96,3.44,7.17,3.33,4.05,4.10,2.30,1.01,0.81,32.48,7.89,14.55,7.41,4.32
1915,1.35,2.16,0.59,0.98,4.91,4.05,4.13,3.59,5.21,1.97,3.23,0.81,32.98,6.48,11.77,10.41,3.97
1916,2.39,0.77,1.99,3.07,4.02,6.18,1.63,3.07,4.96,3.17,1.70,0.93,33.88,9.08,10.88,9.83,3.15
1917,1.47,0.75,2.26,2.55,2.42,5.09,3.01,2.86,2.91,3.35,0.30,0.55,27.52,7.23,10.96,6.56,3.33
1918,1.68,1.10,1.45,2.02,6.53,2.29,2.88,3.78,1.74,2.55,2.25,1.63,29.90,10.00,8.95,6.54,4.01
