YEAR,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,SUM
1891,0.0,0.0,0.0,T,2.3,3.3,7.5,11.5,6.5,2.6,0.8,0.0,34.5
1892,0.0,0.0,0.0,T,8.1,8.7,15.4,15.9,8.4,9.1,0.6,0.0,66.2
1893,0.0,0.0,0.0,0.1,10.7,14.4,10.5,6.5,5.5,6.6,0.2,0.0,54.5
1894,0.0,0.0,0.0,T,9.5,1.9,13.3,4.8,2.2,1.1,0.6,0.0,33.4
1895,0.0,0.0,0.0,0.8,8.2,4.4,6.4,4.8,5.5,3.4,0.0,0.0,33.5
1896,0.0,0.0,T,1.1,10.4,6.5,8.0,11.9,11.5,1.0,T,T,50.4
1897,0.0,0.0,0.0,0.1,5.4,9.3,8.7,14.0,7.3,2.3,T,0.0,47.1
1898,0.0,0.0,0.0,2.4,5.5,2.6,7.1,9.1,15.8,0.2,0.0,0.0,42.7
1899,0.0,0.0,0.1,T,0.2,5.2,5.9,10.0,12.2,5.0,0.0,0.0,38.6
1900,0.0,0.0,T,T,5.1,4.8,8.0,9.2,16.8,0.1,0.1,0.0,44.1
1901,0.0,0.0,0.0,T,2.9,5.4,7.1,2.1,2.3,0.8,2.8,0.0,23.4
1902,0.0,0.0,0.0,T,1.8,12.5,5.3,8.5,2.9,2.2,0.3,0.0,33.5
1903,0.0,0.0,0.0,T,4.3,10.0,5.5,12.6,9.3,6.6,"T ",0.0,48.3
1904,0.0,0.0,0.0,0.4,0.2,16.5,12.8,11.9,3.4,1.8,T,0.0,47.0
1905,0.0,0.0,0.0,1.2,6.5,8.5,17.7,7.2,6.6,1.0,1.0,0.0,49.7
1906,0.0,0.0,0.0,1.4,5.3,7.3,12.5,4.4,5.0,11.7,1.3,T,48.9
1907,0.0,0.0,T,T,1.3,8.8,9.4,13.1,10.0,3.7,0.5,0.0,46.8
1908,0.0,0.0,0.1,T,0.6,12.1,8.3,14.0,9.9,11.1,1.0,0.0,57.1
1909,0.0,0.0,0.0,2.1,7.2,15.8,14.8,8.3,0.8,8.0,"T ",T,57.0
1910,0.0,0.0,0.0,0.8,5.7,10.1,9.4,8.0,8.4,4.4,0.0,0.0,46.8
1911,0.0,0.0,0.0,0.2,11.6,13.7,8.9,7.3,7.5,1.6,T,0.0,50.8
1912,0.0,0.0,T,T,1.9,6.0,10.8,11.1,10.5,2.2,"T ",0.0,42.5
1913,0.0,0.0,0.1,1.6,0.9,0.3,6.2,7.5,3.7,4.1,T,0.0,24.4
1914,0.0,0.0,0.0,0.1,3.0,9.3,9.1,9.2,6.1,T,0.1,T,36.9
1915,0.0,0.0,0.0,0.1,4.7,7.2,10.3,9.5,12.2,0.5,0.1,0.0,44.6
1916,0.0,0.0,T,0.4,5.8,7.7,17.4,8.8,13.9,3.7,0.3,0.0,58.0
1917,0.0,0.0,T,6.4,1.2,5.9,19.6,7.0,9.2,0.6,T,0.0,49.9
1918,0.0,0.0,T,T,4.2,8.1,6.0,11.3,2.5,0.1,T,0.0,32.2
1919,0.0,0.0,0.0,1.8,10.2,8.5,16.0,6.0,9.4,2.4,0.0,0.0,54.3
1920,0.0,0.0,T,T,3.2,12.2,3.8,7.1,2.8,4.3,0.1,0.0,33.5
1921,0.0,0.0,0.0,T,10.3,10.6,7.2,14.9,5.0,3.2,0.0,0.0,51.2
1922,0.0,0.0,0.0,0.2,0.6,5.7,15.9,8.7,19.8,9.5,1.6,0.0,62.0
