YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1895,7.3,8.9,25.7,46.3,56.2,66.2,66.7,67.2,62.0,39.8,28.9,20.2
1896,15.4,18.1,23.2,46.4,61.5,66.0,68.6,67.5,54.1,41.8,24.8,21.7
1897,12.6,19.2,24.6,42.4,52.8,62.0,71.5,63.5,63.6,50.0,27.8,13.3
1898,18.5,18.4,32.2,42.0,54.9,65.9,70.1,65.9,61.0,44.0,29.3,12.6
1899,10.2,5.7,17.4,45.4,55.1,65.2,69.1,68.6,55.2,50.1,37.7,18.1
1900,19.1,8.1,22.4,46.6,57.4,64.7,67.5,72.8,59.6,54.7,27.5,20.8
1901,14.3,9.7,26.1,45.4,55.6,66.2,73.7,67.8,57.4,48.3,28.9,15.1
1902,15.4,14.2,34.3,42.4,56.9,60.5,69.3,63.9,55.2,46.5,36.4,16.4
1903,13.0,14.6,34.1,43.5,56.4,60.9,67.5,62.3,56.7,47.0,27.8,10.1
1904,5.7,4.7,26.1,37.8,54.5,63.1,65.7,63.1,57.2,46.0,35.1,16.3
1905,5.9,8.8,31.2,41.8,52.4,62.9,66.7,67.0,60.4,44.3,31.8,21.6
1906,18.9,14.5,20.0,46.2,53.6,63.6,67.2,68.4,62.6,45.4,31.5,19.8
1907,10.4,16.2,31.6,34.8,46.7,63.1,67.4,64.3,56.6,44.0,31.2,21.4
1908,17.1,18.1,29.2,43.8,54.9,63.0,68.7,65.4,63.7,47.8,33.4,18.5
1909,15.0,18.6,26.4,36.5,52.4,64.6,67.8,69.5,57.2,43.6,37.1,13.2
1910,12.8,11.4,40.7,47.1,50.4,66.4,70.5,66.6,57.1,49.7,26.2,15.5
1911,12.3,21.2,31.8,41.7,59.6,69.1,68.7,64.5,57.4,43.8,24.1,23.9
1912,-5.1,10.5,20.3,44.4,55.2,62.0,68.1,62.7,58.6,47.6,33.4,22.4
1913,13.6,10.4,23.5,45.0,53.0,66.5,67.6,67.5,58.0,44.7,36.9,27.6
