PRECIPITATION NORMALS (Total in Inches),,,,,,,,"Compiled by E.J. Hopkins, PhD Wisconsin State Climatology Office",,,,,,,,,,,,
,,,,,,,,From Climatography of the US 81: Monthly Station Normals 1971-2000 Wisconsin,,,,,,,,At http://www5.ncdc.noaa.gov/climatenormals/clim81/WInorm.txt,,,,
COOPID,NO.,STATION NAME,,,,,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
________,,,,LATITUDE,LONGITUDE,ELEV,ZONE,,,,,,,,,,,,,
470045,1,AFTON,,42.617,-89.067,742,8,1.35,1.09,1.89,3.47,3.44,4.08,3.18,4.34,3.56,2.25,2.31,1.82,32.78
470124,2,ALMA DAM 4,,44.333,-91.933,670,4,1,0.66,1.76,3.32,3.81,4.49,5.18,4.79,4.13,2.37,2.24,0.94,34.69
470175,3,AMERY,,45.3,-92.367,1070,1,1.05,0.74,1.7,2.61,3.17,4.79,3.93,4.64,3.69,2.39,2.09,1.13,31.93
470239,4,ANTIGO,,45.15,-89.117,1521,3,0.87,0.78,1.64,2.61,3.01,3.67,3.96,4.23,4.02,2.6,2.07,1.17,30.63
470265,5,APPLETON,,44.25,-88.367,750,6,1.19,1.04,2.05,2.84,3.1,3.56,3.31,3.9,3.23,2.29,2.27,1.38,30.16
470273,6,ARBORETUM UNIV WIS,,43.05,-89.4,865,8,1.34,1.24,2.38,3.86,3.84,4.6,4.36,4.1,3.74,2.63,2.67,1.79,36.55
470308,7,ARLINGTON UNIV FARM,,43.3,-89.35,1080,8,1.06,1.15,1.99,3.24,3.43,4.04,3.86,4.24,3.64,2.43,2.39,1.33,32.8
470349,8,ASHLAND EXP FARM,,46.567,-90.967,650,1,1.26,0.81,1.86,2.07,2.74,3.65,4.03,3.93,3.7,2.51,2.36,1.1,30.02
470486,9,BALDWIN,,44.967,-92.383,1100,4,1.04,0.81,1.83,2.64,3.44,4.58,4.3,4.63,3.65,2.29,2.02,0.93,32.16
470516,10,BARABOO,,43.45,-89.733,823,7,1.08,1.03,2.08,3.61,3.48,4.16,4.44,4.45,3.53,2.48,2.32,1.13,33.79
470603,11,BAYFIELD 6 N,,46.883,-90.817,820,1,1.78,0.97,2.2,2.25,3.18,3.84,4.06,3.99,3.78,2.82,2.86,1.73,33.46
470645,12,BEAVER DAM,,43.45,-88.85,840,8,1.34,1.23,2.23,3.39,3.19,4.03,4.3,3.79,3.65,2.52,2.3,1.65,33.62
470696,13,BELOIT,,42.5,-89.033,780,8,1.32,1.27,2.21,3.75,3.36,4.64,3.83,4.28,3.62,2.39,2.74,1.84,35.25
470773,14,BIG FALLS HYDRO,,45.55,-90.95,1220,1,1.18,0.87,1.95,2.63,3.3,4.24,4.16,4.51,4.08,2.65,2.38,1.13,33.08
470882,15,BLAIR,,44.3,-91.233,860,4,0.97,0.85,1.9,3.17,3.92,4.07,4.41,4.68,4.13,2.46,2.21,1.13,33.9
470892,16,BLANCHARDVILLE NO 2,,42.8,-89.867,833,7,1.24,1.36,2.33,3.32,3.64,4.46,4.36,4.11,3.35,2.36,2.55,1.59,34.67
470904,17,BLOOMER,,45.1,-91.483,980,1,1,0.73,1.8,2.79,3.54,4.54,3.81,5.02,3.81,2.32,2.1,1.03,32.49
470929,18,BLUE MOUNDS 6 SSE,,43.017,-89.733,1050,8,1.27,1.25,2.41,3.34,3.44,4.42,4.55,4.6,3.35,2.55,2.57,1.74,35.49
470991,19,BOWLER,,44.85,-88.983,1080,3,0.97,0.9,1.73,2.85,3.55,3.75,3.94,4.17,3.78,2.47,2.04,1.36,31.51
471039,20,BREAKWATER,,45.867,-88.233,1190,3,1.31,0.83,1.89,2.48,3.08,3.33,3.35,3.94,3.73,2.66,2.07,1.49,30.16
471044,21,BREED 6 SSE,,44.983,-88.383,860,3,1.37,1,2.1,2.96,3.54,3.7,3.57,3.96,3.61,2.45,2.62,1.63,32.51
471064,22,BRILLION,,44.15,-88.083,810,6,1.24,0.87,1.87,2.59,2.83,3.8,3.39,3.57,3.31,2.41,2,1.33,29.21
471078,23,BRODHEAD,,42.617,-89.383,790,8,1.37,1.41,2.27,3.45,3.65,4.75,3.94,4.19,3.58,2.7,2.39,1.84,35.54
471131,24,BRULE R S,,46.533,-91.6,1000,1,1.35,0.98,2.05,2.36,3.03,3.97,4.64,4.65,3.89,2.77,2.51,1.25,33.45
471139,25,BRULE ISLAND,,45.95,-88.217,1250,3,1.23,0.78,1.78,2.41,3.03,3.45,3.47,4.09,3.81,2.61,1.97,1.37,30
471155,26,BUCKATABON,,46.017,-89.3,1650,2,1.36,0.95,1.66,2.14,3.14,3.58,3.82,3.89,3.7,2.64,2.15,1.34,30.37
471205,27,BURLINGTON,,42.65,-88.25,751,9,1.58,1.29,2.3,3.69,3.14,3.96,3.77,4.16,3.27,2.31,2.56,1.94,33.97
471280,28,CASHTON,,43.75,-90.783,1380,4,1.26,1.03,1.87,3.45,3.67,4.01,4.82,4.62,4.23,2.66,2.54,1.3,35.46
471308,29,CEDAR FALLS HYDRO PLT,,44.933,-91.9,834,4,1.33,0.89,2.14,3.03,3.66,4.8,4.51,4.37,3.88,2.32,2.29,1.27,34.49
471416,30,CHARMANY FARM,,43.067,-89.483,910,8,1.14,1.14,2.18,3.61,3.47,4.5,4.03,4.05,3.25,2.42,2.37,1.32,33.48
471568,31,CHILTON,,44.033,-88.15,840,6,1.41,1.22,2.16,2.72,2.93,3.81,3.57,3.83,3.62,2.4,2.26,1.57,31.5
471667,32,CLINTON,,42.55,-88.833,960,8,1.12,1.08,2.14,3.87,3.57,4.14,3.89,4.59,3.53,2.6,2.54,1.82,34.89
471676,33,CLINTONVILLE,,44.617,-88.75,800,5,1.28,0.98,2.11,2.63,3.48,3.62,4.08,4.15,3.61,2.39,2.28,1.43,32.04
