TEMPERATURE NORMALS (Degrees Fahrenheit),,,,,,,,,,,,"Compiled by E.J. Hopkins, PhD Wisconsin State Climatology Office",,,,,,,,,,
,,,,,,,,,,,,From Climatography of the US 81: Monthly Station Normals 1971-2000 Wisconsin,,,,,,,,,,
COOPID,NO.,STATION NAME,,ELEMENT,LATITUDE,LONGITUDE,ELEV,ZONE,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
________,,,,,,,,,,,,,,,,,,,,,,

MAXIMUM TEMPERATURE,,,,,,,,,,,,,,,,,,,,,,

470045,1,AFTON,,MAX,42.617,-89.067,742,8,,26.7,32,44.7,57.9,70.8,80.6,83.8,81.3,74.1,61.3,45.1,31.4,57.5
470124,2,ALMA DAM 4,,MAX,44.333,-91.933,670,4,,23.4,30.3,41.8,57.3,70,78.6,82.5,79.8,70.7,58.3,40.6,27.3,55.1
470175,3,AMERY,,MAX,45.3,-92.367,1070,1,,19.4,26.5,38.2,54.3,68.1,76.3,80.8,78.3,68.9,56.5,38.5,24.3,52.5
470239,4,ANTIGO,,MAX,45.15,-89.117,1521,3,,20.2,26.1,37,52.4,66.6,74.9,79,76.4,66.5,55,38.3,24.6,51.4
470265,5,APPLETON,,MAX,44.25,-88.367,750,6,,24.1,29.4,40.2,54.4,68.3,77.1,81.4,78.7,70.2,57.5,41.9,28.9,54.3
470273,6,ARBORETUM UNIV WIS,,MAX,43.05,-89.4,865,8,,27.3,33,44.5,57.7,70.3,79.7,83.6,81.5,73.9,61.9,45.5,32.3,57.6
470308,7,ARLINGTON UNIV FARM,,MAX,43.3,-89.35,1080,8,,23,28.6,40.4,55.1,67.6,77.4,80.7,78.5,70.7,59,41.6,28.2,54.2
470349,8,ASHLAND EXP FARM,,MAX,46.567,-90.967,650,1,,19.9,27.1,36.8,50.2,64.8,73.9,79.3,77.1,67.8,56.2,38.2,24.8,51.3
470516,10,BARABOO,,MAX,43.45,-89.733,823,7,,26.1,31.9,43.3,57,69.8,79,82.9,80.6,72.3,60.3,43.9,31.1,56.5
470603,11,BAYFIELD 6 N,,MAX,46.883,-90.817,820,1,,20.9,26.9,36.7,49.8,63.6,72.2,77,75.2,66,54.5,38.3,25.8,50.6
470645,12,BEAVER DAM,,MAX,43.45,-88.85,840,8,,24.3,29.4,41.3,55.5,68,77.3,80.8,78.4,70.9,59.8,43,29.6,54.9
470696,13,BELOIT,,MAX,42.5,-89.033,780,8,,26.5,31.7,43.7,57.5,69.5,79.2,82.5,80.1,72.9,61.5,44.9,31.7,56.8
470773,14,BIG FALLS HYDRO,,MAX,45.55,-90.95,1220,1,,21.6,28.6,39.5,54.6,68.8,76.5,80.6,77.9,68.7,56.6,38.6,25.6,53.1
470882,15,BLAIR,,MAX,44.3,-91.233,860,4,,24.4,31.4,42.9,57.8,70.3,78.8,82.7,80.4,71.9,59.9,42.7,29,56
470904,17,BLOOMER,,MAX,45.1,-91.483,980,1,,19.9,26.7,38.9,55.4,68.8,78,82.4,79.6,70,57.5,39.1,24.3,53.4
470991,19,BOWLER,,MAX,44.85,-88.983,1080,3,,21.2,27.6,38.6,53.4,67,75.1,79.5,76.8,67.4,56.1,40,26.2,52.4
471044,21,BREED 6 SSE,,MAX,44.983,-88.383,860,3,,23.6,28.8,39.6,54.6,68.6,76.8,81,78.4,69.3,57.5,40.7,27.6,53.9
471078,23,BRODHEAD,,MAX,42.617,-89.383,790,8,,25.9,31.2,43.3,57.2,69.8,79.5,83,80.5,73.1,61.2,44.7,31.2,56.7
