FID,SITE_SEQ_N,SOURCE_SIT,SOURCE_TYP,WDRL_YEAR,USE_DESC,WATER_US_1,METHOD_COD,REPORT_COM,WDRL_FLAG,JAN_WDRL_G,FEB_WDRL_G,MAR_WDRL_G,APR_WDRL_G,MAY_WDRL_G,JUN_WDRL_G,JUL_WDRL_G,AUG_WDRL_G,SEP_WDRL_G,OCT_WDRL_G,NOV_WDRL_G,DEC_WDRL_G,ANNUAL_WDR,Shape__Area,Shape__Length
417,11389,9714,Groundwater,2011,single residence private,DS11, , ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,4924213.848,8877.328457
2097,5419,9657,Groundwater,2013,single residence private,DS11, , ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,4073907.676,8117.536409
3063,11839,9824,Groundwater,2011,single residence private,DS11, , ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,4282162.027,8305.670516
4292,7546,9715,Groundwater,2011,single residence private,DS11, , ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,4924213.848,8877.328457
5573,21730,17886,Groundwater,2012,single residence private,DS11,LER, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,4505343.289,8502.744613
7062,7956,9668,Groundwater,2013,single residence private,DS11, , ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,4073907.676,8117.536409
7601,21931,18082,Groundwater,2013,single residence private,DS11,LER, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,4972270.855,8922.473226
7623,9283,9667,Groundwater,2013,single residence private,DS11, , ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,4073907.676,8117.536409
8178,10644,6606,Groundwater,2011,single residence private,DS11,LER, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5103757.363,9037.918375
8374,7983,9461,Groundwater,2012,single residence private,DS11,LER, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5069901.477,9006.736658
8448,21934,18085,Groundwater,2013,single residence private,DS11,LERD,"This a private, low capacity well.",Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5022311.375,8966.184477
3188,6525,5031,Groundwater,2012,agricultural irrigation,IR10,COTH, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5035401.523,8977.029707
3440,13129,820,Groundwater,2012,agricultural irrigation,IR10,THM, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,5002733.598,8946.891701
3975,10589,6079,Groundwater,2013,agricultural irrigation,IR10,COTH, ,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,4622538.441,8610.700804
