OID_,road,hsn_w_pre,full_addre,zip,cvt
0,CTY HWY SS,W14887,W14887 CTY HWY SS,54486,TOWN OF WYOMING
1,RUSTIC DR,W8407,W8407 RUSTIC DR,54929,TOWN OF MATTESON
2,JOHNSON RD,E1504,E1504 JOHNSON RD,54945,TOWN OF HARRISON
3,W 13TH ST,38,38 W 13TH ST,54929,CITY OF CLINTONVILLE
4,FOUNTAIN RD,E7855,E7855 FOUNTAIN RD,54922,TOWN OF BEAR CREEK
5,DRAKE DR,N451,N451 DRAKE DR,54940,TOWN OF FREMONT
6,PARADISE CT,N3566,N3566 PARADISE CT,54961,TOWN OF MUKWA
7,HAUSCHULTZ RD,E6710,E6710 HAUSCHULTZ RD,54950,TOWN OF DUPONT
8,CTY HWY T,N7542,N7542 CTY HWY T,54922,TOWN OF BEAR CREEK
9,N MAIN ST,190,190 N MAIN ST,54945,VILLAGE OF IOLA
10,CTY HWY Q,E1392,E1392 CTY HWY Q,54981,TOWN OF FARMINGTON
11,LARSON RD,E2060,E2060 LARSON RD,54981,TOWN OF FARMINGTON
12,CTY HWY F,E6540,E6540 CTY HWY F,54983,TOWN OF WEYAUWEGA
13,ADAMS ST,245,245 ADAMS ST,54945,VILLAGE OF IOLA
14,NICHOLS CREEK RD,N3862,N3862 NICHOLS CREEK RD,54981,TOWN OF WAUPACA
15,BUCK LN,E4808,E4808 BUCK LN,54983,TOWN OF LIND
16,N MAIN ST,575,575 N MAIN ST,54977,VILLAGE OF SCANDINAVIA
17,CTY HWY K,N6398,N6398 CTY HWY K,54962,TOWN OF ST LAWRENCE
18,W QUINCY ST,210,210 W QUINCY ST,54961,CITY OF NEW LONDON
19,BEAR LAKE RD,N5010,N5010 BEAR LAKE RD,54961,TOWN OF LITTLE WOLF
20,W RIVER RD,N8968,N8968 W RIVER RD,54949,TOWN OF UNION
21,S FRANKLIN ST,218,218 S FRANKLIN ST,54981,CITY OF WAUPACA
22,NORTH SHORE RD,E5923,E5923 NORTH SHORE RD,54983,TOWN OF ROYALTON
23,GARRITY RD,E6615,E6615 GARRITY RD,54949,TOWN OF LITTLE WOLF
24,ADAMS ST,260,260 ADAMS ST,54945,VILLAGE OF IOLA
25,ADAMS ST,225,225 ADAMS ST,54945,VILLAGE OF IOLA
26,WILLIAM DR,N1875,N1875 WILLIAM DR,54981,TOWN OF DAYTON
27,MAPLE LN,E4960,E4960 MAPLE LN,54962,TOWN OF UNION
28,W MAIN ST,408,408 W MAIN ST,54983,CITY OF WEYAUWEGA
29,TANK RD,N5017,N5017 TANK RD,54961,TOWN OF LEBANON
30,WROLSTAD RD,N10598,N10598 WROLSTAD RD,54945,TOWN OF HARRISON
