geometry,SOURCE_SITE_SEQ_NO,HICAP_WELL_NO,WI_UNIQUE_WELL_NO,PWS_ID,PROPERTY_SEQ_NO,OWNER_COMPANY,OWNER_NAME,WATER_USE_CODE,APPROVAL_DATE,COMPLETION_DATE,PUMP_CAPACITY_GPM,PUMP_CAPACITY_GPD,MAX_APPROVED_WDRL_GPD,WELL_DEPTH_FT,ENLARGED_DRILLHOLE_DIAM_IN,LOWER_DRILLHOLE_DIAM_IN,CASING_DIAM_IN,SPECIFIC_CAPACITY_GMFT_AMT,CHIEF_AQUIFER_DESC,WATER_USE_SHORT_DESC,SOURCE_STATUS_DESC
Geocortex.Gis.Geometries.Polygon,17609,3485,MG131,,12636,GREATER BAYFIELD WWTP,GREATER BAYFIELD WWTP,OT12,2004-03-31T00:00:00.0000000,2005-02-11T00:00:00.0000000,125,180000,180000,400,12.75,7.88,8,1.3,Sandstone,Wastewater treatment,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,527,881,CI003,80400947,310,PORT WING SANITARY DISTRICT #1,PORT WING SANITARY DISTRICT #1,PS11,1991-03-15T00:00:00.0000000,1991-06-19T00:00:00.0000000,38,54720,,200,16,8,12,0.6,Sandstone,Public utility,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,10230,77604,FF605,,9069,WI CENTRAL RAILWAY,WI CENTRAL RAILWAY,PS31,1984-07-06T00:00:00.0000000,1984-04-11T00:00:00.0000000,65,93600,48000,390,10,6,6,5,Sandstone,Public/non-transient,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,406,75244,BF120,80203783,274,"MELLEN, CITY OF - UTILITY","MELLEN, CITY OF - UTILITY",PS11,1940-01-01T00:00:00.0000000,1942-01-01T00:00:00.0000000,100,144000,180000,,,,,,,Public utility,EXISTING source
Geocortex.Gis.Geometries.Polygon,405,75245,BF121,80203783,274,"MELLEN, CITY OF - UTILITY","MELLEN, CITY OF - UTILITY",PS11,1968-06-21T00:00:00.0000000,1968-01-01T00:00:00.0000000,300,432000,432000,88,84,42,16,45,Sand/Gravel,Public utility,EXISTING source
Geocortex.Gis.Geometries.Polygon,18062,72533,XD620,,12790,"WASCOTT, TOWN OF - FIRE DEPT","WASCOTT, TOWN OF - FIRE DEPT",OT01,2012-11-29T00:00:00.0000000,2013-03-11T00:00:00.0000000,400,576000,576000,176,10,10,10,1.8,Sand/Gravel,Fire protection,LOCAP Residential or Fire Well
Geocortex.Gis.Geometries.Polygon,10063,75402,BF148,,8828,AMERICAN BIRKEBEINER SKI  FOUNDATION INC. ,AMERICAN BIRKEBEINER SKI  FOUNDATION INC. ,CO21,1961-09-22T00:00:00.0000000,1961-10-24T00:00:00.0000000,250,360000,120000,,,,,,,Recreation - winter,EXISTING source
Geocortex.Gis.Geometries.Polygon,10069,75409,BF154,,8828,AMERICAN BIRKEBEINER SKI  FOUNDATION INC. ,AMERICAN BIRKEBEINER SKI  FOUNDATION INC. ,OT12,1972-11-20T00:00:00.0000000,1972-11-15T00:00:00.0000000,,,5000,,,,,,,Wastewater treatment,EXISTING source
Geocortex.Gis.Geometries.Polygon,10065,75404,BF150,,8828,AMERICAN BIRKEBEINER SKI  FOUNDATION INC. ,AMERICAN BIRKEBEINER SKI  FOUNDATION INC. ,CO21,1972-01-06T00:00:00.0000000,1961-11-07T00:00:00.0000000,200,288000,120000,,,,,,,Recreation - winter,EXISTING source
Geocortex.Gis.Geometries.Polygon,10072,75415,GU389,,12707,TELEMARK INTERVAL OWNERS ASSN,TELEMARK INTERVAL OWNERS ASSN,PS23,1981-11-24T00:00:00.0000000,1980-11-05T00:00:00.0000000,250,360000,180000,128,16,12,8,6,Sand/Gravel,OTM - multi-unit housing,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,10068,75408,GU390,,8828,AMERICAN BIRKEBEINER SKI  FOUNDATION INC. ,AMERICAN BIRKEBEINER SKI  FOUNDATION INC. ,PS21,1972-10-27T00:00:00.0000000,1972-11-08T00:00:00.0000000,250,360000,160000,95,30,30,20,9.6,Sand/Gravel,OTM - public,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,10064,75403,BF149,,8828,AMERICAN BIRKEBEINER SKI  FOUNDATION INC. ,AMERICAN BIRKEBEINER SKI  FOUNDATION INC. ,CO21,1972-01-06T00:00:00.0000000,1961-10-31T00:00:00.0000000,150,216000,120000,,,,,,,Recreation - winter,EXISTING source
Geocortex.Gis.Geometries.Polygon,9972,71292,WH866,,8863,WI DNR - NO HIGHLAND-AMERICAN LEGION,WI DNR - NO HIGHLAND-AMERICAN LEGION,CO99,2010-11-04T00:00:00.0000000,2011-05-10T00:00:00.0000000,15,21600,200,45,6,6,6,1,Sand/Gravel,Commercial - other,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,9318,70560,WP104,,8863,WI DNR - NO HIGHLAND-AMERICAN LEGION,WI DNR - NO HIGHLAND-AMERICAN LEGION,CO99,2009-09-21T00:00:00.0000000,2009-11-18T00:00:00.0000000,4,5760,200,43,6,6,6,1.4,,Commercial - other,APPROVED well with well report
Geocortex.Gis.Geometries.Polygon,21139,91455,LD156,76416296,14037,CAMP MANITO-WISH YMCA INC,CAMP MANITO-WISH YMCA INC,PS42,2015-11-30T00:00:00.0000000,1997-11-04T00:00:00.0000000,22,31680,1680,48,6,6,6,1.7,,Lodging,EXISTING source
Geocortex.Gis.Geometries.Polygon,21140,91456,LD155,76416285,14037,CAMP MANITO-WISH YMCA INC,CAMP MANITO-WISH YMCA INC,PS42,2015-11-30T00:00:00.0000000,1997-12-15T00:00:00.0000000,22,31680,1680,48,6,6,6,1.7,,Lodging,EXISTING source
Geocortex.Gis.Geometries.Polygon,21142,91458,HQ814,,14037,CAMP MANITO-WISH YMCA INC,CAMP MANITO-WISH YMCA INC,PS42,2015-11-30T00:00:00.0000000,1994-11-17T00:00:00.0000000,10,14400,1000,,,,,,,Lodging,EXISTING source
