County,Water Use Code,Source Type,No of Sources,Percent of Total Sources Searched,Average Source Capacity (GPD)
Adams,AQ10 - Aquaculture,Groundwater,3,0.08,"538,000.00"
Adams,CO21 - Recreation - winter,Groundwater,1,0.03,"144,000.00"
Adams,CO22 - Recreation - other,Groundwater,9,0.25,"50,555.56"
Adams,CO99 - Commercial - other,Groundwater,7,0.19,"178,400.00"
Adams,DS11 - Privt/single residence,Groundwater,3,0.08,"5,133.33"
Adams,DS12 - Privt/multi residences,Groundwater,32,0.88,"16,156.25"
Adams,EG99 - Power gen - other,Groundwater,1,0.03,0
Adams,IN31 - Food manufacturing,Groundwater,5,0.14,"499,888.00"
Adams,IN62 - Mineral preparations,Groundwater,1,0.03,"1,440,000.00"
Adams,IN64 - Construction - other,Groundwater,1,0.03,"216,000.00"
Adams,IN99 - Industrial - other,Groundwater,2,0.06,"165,500.00"
Adams,IR10 - Agricultural irrigation,Groundwater,594,16.4,"1,366,210.10"
Adams,IR22 - Orchards/nursery irrig,Groundwater,3,0.08,"130,200.00"
Adams,IR23 - Cranberry irrigation,Groundwater,23,0.64,"1,554,947.83"
Adams,IR31 - Golf course irrigation,Groundwater,15,0.41,"987,133.33"
Adams,IR32 - Park&Rec field irrig,Groundwater,7,0.19,"72,272.00"
Adams,IR99 - Irrigation - other,Groundwater,3,0.08,"579,000.00"
Adams,LV10 - Dairy farming,Groundwater,9,0.25,"321,444.44"
Adams,LV20 - Non-dairy farming,Groundwater,19,0.52,"97,317.89"
Adams,OT13 - Lake and pond levels,Groundwater,1,0.03,"1,728,000.00"
Adams,OT98 - Other - <70gpm,Groundwater,3,0.08,"19,866.67"
Adams,OT99 - Other - >70gpm,Groundwater,2,0.06,"25,000.00"
Adams,PS11 - Public utility,Groundwater,7,0.19,"164,571.43"
Adams,PS22 - OTM - single-unit housing,Groundwater,3,0.08,"87,800.00"
Adams,PS23 - OTM - multi-unit housing,Groundwater,7,0.19,"37,142.86"
Adams,PS31 - Public/non-transient,Groundwater,6,0.17,"110,186.67"
Adams,PS41 - Public/transient,Groundwater,28,0.77,"34,654.82"
Adams,PS42 - Lodging,Groundwater,9,0.25,"46,133.33"
Adams,"PS43 - Restaurants, taverns",Groundwater,6,0.17,"24,100.00"
Adams,"PS44 - Business, retail",Groundwater,1,0.03,"86,000.00"
Adams,PS50 - Schools (K-12),Groundwater,1,0.03,"4,000.00"
