OBJECTID,ASSESSMENT_UNIT_SEQ_NO,OFFICIAL_NAME,LOCAL_NAME,WATER_TYPE,START_MILE_NO,END_MILE_NO,WATER_TYPE_SIZE_AMT,MEASUREMENT_UNIT,TROUT_CLASS_CODE,WBIC,ORW_ERW,IMPAIRED_WATER_LISTED_FLAG,FED_WILD_SCENIC_FLAG,CLASSIFICATION,CLASSIFICATION_STATUS,DECISION_DATE,INFO_SOURCES,DOCUMENT_URL,ASSESSMENT_UNIT_COMMENT,SHAPELEN
32,10205,East Twin River,East Twin River,RIVER,26.4,34.18,7.78,MILES,CLASS II,84000,,Y,,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Chloride Assessment Package, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Total Phosphorus Package - Streams",NA,"6/30/09 bindem: per Ted Treska and Steve Hogler E Twin River is incorrectly lislted as Krok Creek in the 1980 trout book. Class I segment is from STH 29 to headwaters. Class II segment is from CTH B to STH 29. 


Class 1 is between STH 29, then upstream to crossing with CTH F. Class 2 is from STH 29, then downstream to crossing with CTH B.

AU: Hwy 29 to CTH B",12528.4580095955
33,10206,East Twin River,East Twin River,RIVER,34.18,40.91,6.73,MILES,CLASS I,84000,ERW,Y,,Cold  (Class I Trout),Official,,"Chloride Assessment Package, Macroinvertebrate IBI Package, Temperature Assessment Package, Total Phosphorus Package - Streams, Trout Book: 1980 Blue Book",NA,"AU: Headwaters to HWY 29
6/30/09 bindem: per Ted Treska and Steve Hogler E Twin River is incorrectly lislted as Krok Creek in the 1980 trout book. Class I segment is from STH 29 to headwaters.
Class 1 is between STH 29, then upstream to crossing with CTH F. Class 2 is from STH 29, then downstream to crossing with CTH B.

",10829.3126503473
34,10207,Rogers Creek,Roger's Creek,RIVER,0,0.8,0.8,MILES,CLASS I,91500,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,647.182157658444
44,10287,Crystal River,Crystal River,RIVER,2.43,12.2,9.77,MILES,CLASS II,258200,,Y,,Cold  (Class II Trout),Official,,"Trout Book: 2002 Spatial Data, SWIMS Data and Professional Decision, Trout Book: 1980 Blue Book",NA,This AU: From headwaters to CTH E.,15729.1744887127
45,10290,Naylor Creek,Naylor Creek,RIVER,0,1.62,1.62,MILES,CLASS I,259000,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream,2602.28097430078
46,10291,Radley Creek,Radley Creek,RIVER,0,11.51,11.51,MILES,CLASS I,259300,ORW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams, Trout Book: 1980 Blue Book",NA,"This AU: entire stream.
ORW 736 layer for S Br Radley (Pearl) Creek in Portage county has incorrect WBIC 260700 attached to it. Used ORW ID 728 for the entire stream.
The description of the Waupaca county trout portion of the stream �To jct with Crystal R� is not clear, assumed �All� for Waupaca county.
",18518.2557790601
47,10295,Emmons Creek,Emmons Creek,RIVER,0,7.74,7.74,MILES,CLASS I,261300,ORW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Temperature Assessment Package, Total Phosphorus Package - Streams, Trout Book: 198",NA,,12460.9701723301
48,10317,Stoltenburg Creek,Stoltenberg Creek,RIVER,0,0.63,0.63,MILES,CLASS I,268700,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: Part of the stream in S5, T23N, R10E. 
ROW spells the name as Stoltenburg,  the trout books spell it as Stoltenberg Creek.
Trout ID:  67 
Class Code:  1 
OEW ID:  787 
OEW Name:  Stoltenberg Creek 
",1015.11163627287
54,10352,Spaulding Creek,Spaulding Creek,RIVER,0,9.12,9.12,MILES,CLASS I,284900,ORW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Temperature Assessment Package, Total Phosphorus Package - Streams",NA,Entire stream,14677.1810772621
55,10362,Comet Creek,Comet Creek,RIVER,0,8.03,8.03,MILES,CLASS I,285600,ERW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: From mouth to Waupaca/Shawano county line.,12922.380700606
