TaxYear,Name,SchoolDist,TotalAssessedValu,AssessedLandValu,AssessedImprovementValu,EstimatedFairMarketValu,NetPropTax,GrossPropTax,PropClass,AuxPropClass,AssessedAcres,DeedAcres,GISAcres,Longitude,Latitude,PropClassDesc
2015,VILLAGE OF BIG FALLS,MARION SD,37600,3100,34500,36400,643.18,754.73,none,none,0,0,1.079981675,-89.01560847,44.61258543,none
2015,VILLAGE OF BIG FALLS,MARION SD,1000,1000,0,1000,18.55,20.06,none,none,0,0,0.264647905,-89.01463617,44.6128537,none
2015,VILLAGE OF BIG FALLS,MARION SD,1000,1000,0,1000,18.55,20.06,none,none,0,0,0.273986967,-89.01415471,44.61285682,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.570175828,-89.01560775,44.61297757,none
2015,VILLAGE OF BIG FALLS,MARION SD,1000,1000,0,1000,18.55,20.06,none,none,0,0,0.256859898,-89.01464204,44.61310827,none
2015,VILLAGE OF BIG FALLS,MARION SD,1000,1000,0,1000,18.55,20.06,none,none,0,0,0.269065568,-89.01416323,44.6131111,none
2015,VILLAGE OF BIG FALLS,MARION SD,1000,1000,0,1000,18.55,20.06,none,none,0,0,0.241772746,-89.0146478,44.6133542,none
2015,VILLAGE OF BIG FALLS,MARION SD,1000,1000,0,1000,18.55,20.06,none,none,0,0,0.255662279,-89.01417155,44.613357,none
2015,VILLAGE OF BIG FALLS,MARION SD,46600,1900,44700,45100,721.51,935.39,none,none,0,0,0.39569136,-89.01591319,44.61338406,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.367065743,-89.015594,44.61338775,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.367153688,-89.01528684,44.61339113,none
2015,VILLAGE OF BIG FALLS,MARION SD,19100,1800,17300,18500,299.69,383.4,none,none,0,0,0.201321303,-89.0146527,44.61357486,none
2015,VILLAGE OF BIG FALLS,MARION SD,1000,1000,0,1000,18.55,20.06,none,none,0,0,0.215485647,-89.01417901,44.61357796,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.18304266,-89.01582986,44.61393004,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.175818707,-89.01466146,44.61394673,none
2015,VILLAGE OF BIG FALLS,MARION SD,36400,1000,35400,35200,532.14,730.66,none,none,0,0,0.190147146,-89.01419227,44.61394923,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.168050008,-89.01583226,44.61409945,none
2015,VILLAGE OF BIG FALLS,MARION SD,100,100,0,100,1.87,2.02,none,none,0,0,0.017004552,-89.01557438,44.61409069,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.156265498,-89.01546531,44.61400497,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.15861134,-89.0152502,44.61401516,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.167648853,-89.014667,44.61412312,none
2015,VILLAGE OF BIG FALLS,MARION SD,1800,1800,0,1700,33.43,36.14,none,none,0,0,0.183931597,-89.01419837,44.61412447,none
2015,VILLAGE OF BIG FALLS,MARION SD,45300,1800,43500,43800,786.17,909.31,none,none,0,0,0.177582204,-89.01583423,44.61426959,none
2015,VILLAGE OF BIG FALLS,MARION SD,1000,1000,0,1000,18.55,20.06,none,none,0,0,0.184591887,-89.01420487,44.61429688,none
2015,VILLAGE OF BIG FALLS,MARION SD,2800,1800,1000,2700,29.09,56.21,none,none,0,0,0.127749944,-89.01583568,44.61442291,none
2015,VILLAGE OF BIG FALLS,MARION SD,25900,1800,24100,25100,337.16,519.88,none,none,0,0,0.157920051,-89.01548761,44.61433564,none
