OID_,X,Y,FID,OBJECTID,LATITUDE,LONGITUDE,SITE_NAME,SITE_NO,SITE_TYPE,SOURCE,OBJECTID_1,OBS_DATE,SITE_NO_1,SITE_NAM_1,OBS_TYPE,OBS,UNIT
67565,-9948998.038814550265670,5460321.309913069941103,67565,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69563,2015/05/16 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,15.690000000000000,CFS
67566,-9948998.038814550265670,5460321.309913069941103,67566,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69564,2015/06/16 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,18.660000000000000,CFS
67567,-9948998.038814550265670,5460321.309913069941103,67567,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69565,2015/07/22 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,11.020000000000000,CFS
67568,-9948998.038814550265670,5460321.309913069941103,67568,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69566,2015/08/19 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,12.670000000000000,CFS
67569,-9948998.038814550265670,5460321.309913069941103,67569,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69567,2015/09/16 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,11.920000000000000,CFS
67570,-9948998.038814550265670,5460321.309913069941103,67570,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69568,2015/10/14 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,11.830000000000000,CFS
67571,-9948998.038814550265670,5460321.309913069941103,67571,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69569,2016/05/16 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,18.079999999999998,CFS
67572,-9948998.038814550265670,5460321.309913069941103,67572,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69570,2016/06/13 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,14.289999999999999,CFS
67573,-9948998.038814550265670,5460321.309913069941103,67573,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69571,2016/07/18 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,13.070000000000000,CFS
67574,-9948998.038814550265670,5460321.309913069941103,67574,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69572,2016/08/22 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,12.029999999999999,CFS
67575,-9948998.038814550265670,5460321.309913069941103,67575,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69573,2016/09/13 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,15.340000000000000,CFS
67576,-9948998.038814550265670,5460321.309913069941103,67576,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69574,2016/10/17 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,14.660000000000000,CFS
67577,-9948998.038814550265670,5460321.309913069941103,67577,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69575,2017/05/22 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,17.809999999999999,CFS
67578,-9948998.038814550265670,5460321.309913069941103,67578,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69576,2017/06/12 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,17.250000000000000,CFS
67579,-9948998.038814550265670,5460321.309913069941103,67579,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69577,2017/08/17 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,17.410000000000000,CFS
67580,-9948998.038814550265670,5460321.309913069941103,67580,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69578,2017/09/11 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,15.640000000000001,CFS
67581,-9948998.038814550265670,5460321.309913069941103,67581,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69579,2017/10/05 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,13.940000000000000,CFS
67582,-9948998.038814550265670,5460321.309913069941103,67582,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69580,2018/05/14 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,25.219999999999999,CFS
67583,-9948998.038814550265670,5460321.309913069941103,67583,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69581,2018/06/11 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,18.210000000000001,CFS
67584,-9948998.038814550265670,5460321.309913069941103,67584,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69582,2018/07/16 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,15.020000000000000,CFS
67585,-9948998.038814550265670,5460321.309913069941103,67585,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69583,2018/08/13 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,14.980000000000000,CFS
67586,-9948998.038814550265670,5460321.309913069941103,67586,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69584,2019/06/10 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,22.800000000000001,CFS
67587,-9948998.038814550265670,5460321.309913069941103,67587,16717,43.966900000000003,-89.373369999999994,Wedde Creek - Deerborn Avenue Station 1,10010711.000000000000000,ST,WDNR,69585,2019/07/15 00:00:00+00,10010711.000000000000000,Wedde Creek - Deerborn Avenue Station 1,ST,17.910000000000000,CFS
67588,-9923804.211726170033216,5477048.203766950406134,67588,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69586,2015/05/11 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,41.920000000000002,CFS
67589,-9923804.211726170033216,5477048.203766950406134,67589,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69587,2015/06/15 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,63.439999999999998,CFS
67590,-9923804.211726170033216,5477048.203766950406134,67590,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69588,2015/07/15 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,45.619999999999997,CFS
67591,-9923804.211726170033216,5477048.203766950406134,67591,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69589,2015/08/18 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,31.859999999999999,CFS
67592,-9923804.211726170033216,5477048.203766950406134,67592,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69590,2015/09/14 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,39.990000000000002,CFS
67593,-9923804.211726170033216,5477048.203766950406134,67593,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69591,2015/10/12 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,33.180000000000000,CFS
67594,-9923804.211726170033216,5477048.203766950406134,67594,16684,44.074950000000001,-89.147049999999993,Willow Creek At Cth S And Z,10028918.000000000000000,ST,WDNR,69592,2016/04/25 00:00:00+00,10028918.000000000000000,Willow Creek At Cth S And Z,ST,51.659999999999997,CFS
